iter	Passed	Remaining
786	950	257
787	951	256
788	952	254
789	954	253
790	955	252
791	956	251
792	957	249
793	958	248
794	959	247
795	961	246
796	962	245
797	963	243
798	964	242
799	965	241
800	966	240
801	967	238
802	968	237
803	969	236
804	970	235
805	971	233
806	972	232
807	973	231
808	975	230
809	976	228
810	977	227
811	978	226
812	979	225
813	980	224
814	981	222
815	982	221
816	984	220
817	985	219
818	986	218
819	987	216
820	989	215
821	990	214
822	992	213
823	993	212
824	994	210
825	995	209
826	996	208
827	998	207
828	999	206
829	1000	205
830	1002	203
831	1003	202
832	1004	201
833	1006	200
834	1007	199
835	1008	197
836	1009	196
837	1011	195
838	1012	194
839	1013	193
840	1014	191
841	1015	190
842	1017	189
843	1018	188
844	1019	186
845	1020	185
846	1021	184
847	1023	183
848	1024	182
849	1025	180
850	1026	179
851	1027	178
852	1028	177
853	1029	176
854	1031	174
855	1032	173
856	1033	172
857	1034	171
858	1035	170
859	1037	168
860	1038	167
861	1039	166
862	1040	165
863	1042	164
864	1043	162
865	1044	161
866	1045	160
867	1046	159
868	1047	157
869	1048	156
870	1049	155
871	1051	154
872	1052	153
873	1053	151
874	1054	150
875	1055	149
876	1056	148
877	1057	146
878	1058	145
879	1060	144
880	1061	143
881	1062	142
882	1063	140
883	1064	139
884	1065	138
885	1066	137
886	1067	135
887	1068	134
888	1069	133
889	1070	132
890	1071	131
891	1072	129
892	1073	128
893	1074	127
894	1075	126
895	1076	125
896	1077	123
897	1078	122
898	1079	121
899	1081	120
900	1082	118
901	1083	117
902	1084	116
903	1085	115
904	1086	114
905	1087	112
906	1088	111
907	1089	110
908	1090	109
909	1091	107
910	1092	106
911	1093	105
912	1094	104
913	1095	103
914	1096	101
915	1097	100
916	1099	99
917	1100	98
918	1101	97
919	1101	95
920	1103	94
921	1103	93
922	1104	92
923	1105	90
924	1106	89
925	1107	88
926	1108	87
927	1109	86
928	1110	84
929	1111	83
930	1112	82
931	1112	81
932	1113	79
933	1115	78
934	1116	77
935	1117	76
936	1118	75
937	1119	73
938	1120	72
939	1121	71
940	1121	70
941	1122	69
942	1123	67
943	1124	66
944	1125	65
945	1126	64
946	1127	63
947	1128	61
948	1129	60
949	1131	59
950	1132	58
951	1133	57
952	1134	55
953	1135	54
954	1136	53
955	1136	52
956	1137	51
957	1138	49
958	1139	48
959	1140	47
960	1141	46
961	1142	45
962	1143	43
963	1144	42
964	1145	41
965	1146	40
966	1147	39
967	1148	37
968	1149	36
969	1150	35
970	1151	34
971	1152	33
972	1153	31
973	1154	30
974	1154	29
975	1155	28
976	1157	27
977	1158	26
978	1158	24
979	1160	23
980	1160	22
981	1161	21
982	1163	20
983	1164	18
984	1165	17
985	1166	16
986	1167	15
987	1168	14
988	1169	13
989	1169	11
990	1170	10
991	1171	9
992	1172	8
993	1173	7
994	1174	5
995	1175	4
996	1176	3
997	1176	2
998	1178	1
999	1179	0
